,noteId,raterParticipantId,createdAtMillis,version,agree,disagree,helpful,notHelpful,helpfulnessLevel,helpfulOther,helpfulInformative,helpfulClear,helpfulEmpathetic,helpfulGoodSources,helpfulUniqueContext,helpfulAddressesClaim,helpfulImportantContext,helpfulUnbiasedLanguage,notHelpfulOther,notHelpfulIncorrect,notHelpfulSourcesMissingOrUnreliable,notHelpfulOpinionSpeculationOrBias,notHelpfulMissingKeyPoints,notHelpfulOutdated,notHelpfulHardToUnderstand,notHelpfulArgumentativeOrBiased,notHelpfulOffTopic,notHelpfulSpamHarassmentOrAbuse,notHelpfulIrrelevantSources,notHelpfulOpinionSpeculation,notHelpfulNoteNotNeeded,ratedOnTweetId
0,1634690324999143427,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1678606881815,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1,1634805166510600192,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1678607031015,2,0,0,0,0,SOMEWHAT_HELPFUL,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
2,1650963648356155394,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1682486947101,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1650873830280183812
3,1654051506910314498,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1683230827881,2,0,0,0,0,SOMEWHAT_HELPFUL,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1654002954628726784
4,1654060326118146049,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1683230795141,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1654002954628726784
5,1667224856205864960,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1686354104320,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1666681427776221186
6,1667237081666428944,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1686450110347,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666681427776221186
7,1667620791352176640,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1686428446896,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667589406511988742
8,1671376901007630338,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1687356937314,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671356097758744578
9,1671450216854069248,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1687420836218,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671090690267250689
10,1671481245119787008,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1687356734488,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1671356097758744578
11,1680394205506732032,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1689477106429,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1680225717794091009
12,1684974315790626817,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1690621289148,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684964256918523905
13,1685875163022196736,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1690811926930,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1685714864558268416
14,1688062703850406074,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1691326650549,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1687874283949953024
15,1690196268327571525,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1691811501141,2,0,0,0,0,SOMEWHAT_HELPFUL,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1689644496227864576
16,1691936007934099910,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1692237461534,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1691800167857750274
17,1697240975650013202,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1693518592553,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1697030923261469143
18,1698134574675677325,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1693751934411,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1697928674404597904
19,1708722796358963422,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1696295782401,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708632465282150796
20,1712557151124869224,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1697165572275,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1712511881229787530
21,1714705024545116635,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1697687437425,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1714687090766807534
22,1721247492115747061,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1699279005724,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720878443032723719
23,1721361719010656409,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1699279193075,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1721311632758849919
24,1722814464334971351,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1699684435546,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1722752303843700828
25,1722868534382866704,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1699684412430,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1722752303843700828
26,1723264611418333344,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1699713693267,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1723025168249856362
27,1728114113182597454,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1700885416338,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1728081486971080896
28,1735787607324287398,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1702738959063,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1735692348875587870
29,1735868109603414073,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1702739283439,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1735838575013273844
30,1735885238549754197,1C0972F584F1BD912FB957D99A854609C93213D0A9C36169F1FBA2267B62709A,1702739275237,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1735838575013273844
